0417; C; 0437
0418; C; 0438
0419; C; 0439
041A; C; 043A
041B; C; 043B
041C; C; 043C
041D; C; 043D
041E; C; 043E
041F; C; 043F
0420; C; 0440
0421; C; 0441
0422; C; 0442
0423; C; 0443
0424; C; 0444
0425; C; 0445
0426; C; 0446
0427; C; 0447
0428; C; 0448
0429; C; 0449
042A; C; 044A
042B; C; 044B
042C; C; 044C
042D; C; 044D
042E; C; 044E
042F; C; 044F
0460; C; 0461
0462; C; 0463
0464; C; 0465
0466; C; 0467
0468; C; 0469
046A; C; 046B
046C; C; 046D
046E; C; 046F
0470; C; 0471
0472; C; 0473
0474; C; 0475
0476; C; 0477
0478; C; 0479
047A; C; 047B
047C; C; 047D
047E; C; 047F
0480; C; 0481
048A; C; 048B
048C; C; 048D
048E; C; 048F
0490; C; 0491
0492; C; 0493
0494; C; 0495
0496; C; 0497
0498; C; 0499
049A; C; 049B
049C; C; 049D
049E; C; 049F
04A0; C; 04A1
04A2; C; 04A3
04A4; C; 04A5
04A6; C; 04A7
04A8; C; 04A9
04AA; C; 04AB
04AC; C; 04AD
04AE; C; 04AF
04B0; C; 04B1
04B2; C; 04B3
04B4; C; 04B5
04B6; C; 04B7
04B8; C; 04B9
04BA; C; 04BB
04BC; C; 04BD
04BE; C; 04BF
04C0; C; 04CF
04C1; C; 04C2
04C3; C; 04C4
04C5; C; 04C6
04C7; C; 04C8
04C9; C; 04CA
04CB; C; 04CC
04CD; C; 04CE
04D0; C; 04D1
04D2; C; 04D3
04D4; C; 04D5
04D6; C; 04D7
04D8; C; 04D9
04DA; C; 04DB
04DC; C; 04DD
04DE; C; 04DF
04E0; C; 04E1
04E2; C; 04E3
04E4; C; 04E5
04E6; C; 04E7
04E8; C; 04E9
04EA; C; 04EB
04EC; C; 04ED
04EE; C; 04EF
04F0; C; 04F1
04F2; C; 04F3
04F4; C; 04F5
04F6; C; 04F7
04F8; C; 04F9
04FA; C; 04FB
04FC; C; 04FD
04FE; C; 04FF
0500; C; 0501
0502; C; 0503
0504; C; 0505
0506; C; 0507
0508; C; 0509
050A; C; 050B
050C; C; 050D
050E; C; 050F
0510; C; 0511
0512; C; 0513
0514; C; 0515
0516; C; 0517
0518; C; 0519
051A; C; 051B
051C; C; 051D
051E; C; 051F
0520; C; 0521
0522; C; 0523
0524; C; 0525
0526; C; 0527
0528; C; 0529
052A; C; 052B
052C; C; 052D
052E; C; 052F
0531; C; 0561
0532; C; 0562
0533; C; 0563
0534; C; 0564
0535; C; 0565
0536; C; 0566
0537; C; 0567
0538; C; 0568
0539; C; 0569
053A; C; 056A
053B; C; 056B
053C; C; 056C
053D; C; 056D
053E; C; 056E
053F; C; 056F
0540; C; 0570
0541; C; 0571
0542; C; 0572
0543; C; 0573
0544; C; 0574
0545; C; 0575
0546; C; 0576
0547; C; 0577
0548; C; 0578
0549; C; 0579
054A; C; 057A
054B; C; 057B
054C; C; 057C
054D; C; 057D
054E; C; 057E
054F; C; 057F
0550; C; 0580
0551; C; 0581
0552; C; 0582
0553; C; 0583
0554; C; 0584
0555; C; 0585
0556; C; 0586
0587; F; 0565 0582
10A0; C; 2D00
10A1; C; 2D01
10A2; C; 2D02
10A3; C; 2D03
10A4; C; 2D04
10A5; C; 2D05
10A6; C; 2D06
10A7; C; 2D07
10A8; C; 2D08
10A9; C; 2D09
