0435 0306;	0435 	
04D8 0308;	04D8 	
04D9 0308;	04D9 	
0416 0308;	0416 	
0436 0308;	0436 	
0417 0308;	0417 	
0437 0308;	0437 	
0418 0304;	0418 	
0438 0304;	0438 	
0418 0308;	0418 	
0438 0308;	0438 	
041E 0308;	041E 	
043E 0308;	043E 	
04E8 0308;	04E8 	
04E9 0308;	04E9 	
042D 0308;	042D 	
044D 0308;	044D 	
0423 0304;	0423 	
0443 0304;	0443 	
0423 0308;	0423 	
0443 0308;	0443 	
0423 030B;	0423 	
0443 030B;	0443 	
0427 0308;	0427 	
0447 0308;	0447 	
042B 0308;	042B 	
044B 0308;	044B 	
0041 0325;	0041 	
0061 0325;	0061 	
0042 0307;	0042 	
0062 0307;	0062 	
0042 0323;	0042 	
0062 0323;	0062 	
0042 0331;	0042 	
0062 0331;	0062 	
0044 0307;	0044 	
0064 0307;	0064 	
0044 0323;	0044 	
0064 0323;	0064 	
0044 0331;	0044 	
0064 0331;	0064 	
0044 0327;	0044 	
0064 0327;	0064 	
0044 032D;	0044 	
0064 032D;	0064 	
0045 032D;	0045 	
0065 032D;	0065 	
0045 0330;	0045 	
0065 0330;	0065 	
0046 0307;	0046 	
0066 0307;	0066 	
0047 0304;	0047 	
0067 0304;	0067 	
0048 0307;	0048 	
0068 0307;	0068 	
0048 0323;	0048 	
0068 0323;	0068 	
0048 0308;	0048 	
0068 0308;	0068 	
0048 0327;	0048 	
0068 0327;	0068 	
0048 032E;	0048 	
0068 032E;	0068 	
0049 0330;	0049 	
0069 0330;	0069 	
004B 0301;	004B 	
006B 0301;	006B 	
004B 0323;	004B 	
006B 0323;	006B 	
004B 0331;	004B 	
006B 0331;	006B 	
004C 0323;	004C 	
006C 0323;	006C 	
004C 0331;	004C 	
006C 0331;	006C 	
004C 032D;	004C 	
006C 032D;	006C 	
004D 0301;	004D 	
006D 0301;	006D 	
004D 0307;	004D 	
006D 0307;	006D 	
004D 0323;	004D 	
006D 0323;	006D 	
004E 0307;	004E 	
006E 0307;	006E 	
004E 0323;	004E 	
006E 0323;	006E 	
004E 0331;	004E 	
006E 0331;	006E 	
004E 032D;	004E 	
006E 032D;	006E 	
0050 0301;	0050 	
0070 0301;	0070 	
0050 0307;	0050 	
0070 0307;	0070 	
0052 0307;	0052 	
0072 0307;	0072 	
0052 0323;	0052 	
0072 0323;	0072 	
0052 0331;	0052 	
0072 0331;	0072 	
0053 0307;	0053 	
0073 0307;	0073 	
0053 0323;	0053 	
0073 0323;	0073 	
0054 0307;	0054 	
0074 0307;	0074 	
0054 0323;	0054 	
0074 0323;	0074 	
0054 0331;	0054 	
0074 0331;	0074 	
0054 032D;	0054 	
0074 032D;	0074 	
0055 0324;	0055 	
0075 0324;	0075 	
0055 0330;	0055 	
0075 0330;	0075 	
0055 032D;	0055 	
0075 032D;	0075 	
0056 0303;	0056 	
0076 0303;	0076 	
0056 0323;	0056 	
0076 0323;	0076 	
0057 0300;	0057 	
0077 0300;	0077 	
0057 0301;	0057 	
0077 0301;	0077 	
0057 0308;	0057 	
0077 0308;	0077 	
0057 0307;	0057 	
0077 0307;	0077 	
0057 0323;	0057 	
0077 0323;	0077 	
0058 0307;	0058 	
0078 0307;	0078 	
0058 0308;	0058 	
0078 0308;	0078 	
0059 0307;	0059 	
0079 0307;	0079 	
005A 0302;	005A 	
007A 0302;	007A 	
005A 0323;	005A 	
007A 0323;	007A 	
005A 0331;	005A 	
007A 0331;	007A 	
0068 0331;	0068 	
0074 0308;	0074 	
0077 030A;	0077 	
0079 030A;	0079 	
017F 0307;	017F 	
0041 0323;	0041 	
0061 0323;	0061 	
0041 0309;	0041 	
0061 0309;	0061 	
0045 0323;	0045 	
0065 0323;	0065 	
0045 0309;	0045 	
0065 0309;	0065 	
0045 0303;	0045 	
0065 0303;	0065 	
0049 0309;	0049 	
0069 0309;	0069 	
0049 0323;	0049 	
0069 0323;	0069 	
004F 0323;	004F 	
006F 0323;	006F 	
004F 0309;	004F 	
006F 0309;	006F 	
0055 0323;	0055 	
0075 0323;	0075 	
0055 0309;	0055 	
0075 0309;	0075 	
0059 0300;	0059 	
0079 0300;	0079 	
0059 0323;	0059 	
0079 0323;	0079 	
