01EB;	006F  	
01ED;	006F  	
01FF;	006F  	
020D;	006F  	
020F;	006F  	
022B;	006F  	
022D;	006F  	
022F;	006F  	
0231;	006F  	
1E4D;	006F  	
1E4F;	006F  	
1E51;	006F  	
1E53;	006F  	
1ECD;	006F  	
1ECF;	006F  	
1ED1;	006F  	
1ED3;	006F  	
1ED5;	006F  	
1ED7;	006F  	
1ED9;	006F  	
1EDB;	006F  	
1EDD;	006F  	
1EDF;	006F  	
1EE1;	006F  	
1EE3;	006F  	
01A5;	0070  	
1E55;	0070  	
1E57;	0070  	
02A0;	0071  	
0155;	0072  	
0157;	0072  	
0159;	0072  	
0211;	0072  	
0213;	0072  	
027C;	0072  	
027D;	0072  	
1E59;	0072  	
1E5B;	0072  	
1E5D;	0072  	
1E5F;	0072  	
015B;	0073  	
015D;	0073  	
015F;	0073  	
0161;	0073  	
0219;	0073  	
0282;	0073  	
1E61;	0073  	
1E63;	0073  	
1E65;	0073  	
1E67;	0073  	
1E69;	0073  	
0163;	0074  	
0165;	0074  	
0167;	0074  	
01AB;	0074  	
01AD;	0074  	
021B;	0074  	
0236;	0074  	
0288;	0074  	
1E6B;	0074  	
1E6D;	0074  	
1E6F;	0074  	
1E71;	0074  	
1E97;	0074  	
00F9;	0075  	
00FA;	0075  	
00FB;	0075  	
00FC;	0075  	
0169;	0075  	
016B;	0075  	
016D;	0075  	
016F;	0075  	
0171;	0075  	
0173;	0075  	
01B0;	0075  	
01D4;	0075  	
01D6;	0075  	
01D8;	0075  	
01DA;	0075  	
01DC;	0075  	
0215;	0075  	
0217;	0075  	
1E73;	0075  	
1E75;	0075  	
1E77;	0075  	
1E79;	0075  	
1E7B;	0075  	
1EE5;	0075  	
1EE7;	0075  	
1EE9;	0075  	
1EEB;	0075  	
1EED;	0075  	
1EEF;	0075  	
1EF1;	0075  	
028B;	0076  	
1E7D;	0076  	
1E7F;	0076  	
0175;	0077  	
1E81;	0077  	
1E83;	0077  	
1E85;	0077  	
1E87;	0077  	
1E89;	0077  	
1E98;	0077  	
1E8B;	0078  	
1E8D;	0078  	
00FD;	0079  	
00FF;	0079  	
0177;	0079  	
01B4;	0079  	
0233;	0079  	
1E8F;	0079  	
1E99;	0079  	
1EF3;	0079  	
1EF5;	0079  	
1EF7;	0079  	
1EF9;	0079  	
017A;	007A  	
017C;	007A  	
017E;	007A  	
01B6;	007A  	
0225;	007A  	
0290;	007A  	
0291;	007A  	
1E91;	007A  	
1E93;	007A  	
1E95;	007A  	
01E2;	00C6  	
01FC;	00C6  	
01E3;	00E6  	
01FD;	00E6  	
1E9B;	017F  	
01EE;	01B7  	
025A;	0259  	
0286;	0283  	
01BA;	0292  	
01EF;	0292  	
0293;	0292  	
0386;	0391  	
1F08;	0391  	
1F09;	0391  	
1F0A;	0391  	
1F0B;	0391  	
1F0C;	0391  	
1F0D;	0391  	
1F0E;	0391  	
1F0F;	0391  	
1F88;	0391  	
1F89;	0391  	
1F8A;	0391  	
1F8B;	0391  	
1F8C;	0391  	
1F8D;	0391  	
1F8E;	0391  	
1F8F;	0391  	
1FB8;	0391  	
1FB9;	0391  	
1FBA;	0391  	
1FBB;	0391  	
1FBC;	0391  	
0388;	0395  	
1F18;	0395  	
1F19;	0395  	
1F1A;	0395  	
1F1B;	0395  	
1F1C;	0395  	
1F1D;	0395  	
1FC8;	0395  	
1FC9;	0395  	
0389;	0397  	
1F28;	0397  	
1F29;	0397  	
1F2A;	0397  	
1F2B;	0397  	
1F2C;	0397  	
1F2D;	0397  	
1F2E;	0397  	
1F2F;	0397  	
1F98;	0397  	
1F99;	0397  	
1F9A;	0397  	
1F9B;	0397  	
1F9C;	0397  	
1F9D;	0397  	
1F9E;	0397  	
1F9F;	0397  	
1FCA;	0397  	
1FCB;	0397  	
1FCC;	0397  	
038A;	0399  	
03AA;	0399  	
1F38;	0399  	
1F39;	0399  	
1F3A;	0399  	
1F3B;	0399  	
1F3C;	0399  	
1F3D;	0399  	
1F3E;	0399  	
1F3F;	0399  	
1FD8;	0399  	
1FD9;	0399  	
1FDA;	0399  	
1FDB;	0399  	
038C;	039F  	
1F48;	039F  	
1F49;	039F  	
1F4A;	039F  	
1F4B;	039F  	
1F4C;	039F  	
1F4D;	039F  	
1FF8;	039F  	
1FF9;	039F  	
1FEC;	03A1  	
038E;	03A5  	
03AB;	03A5  	
1F59;	03A5  	
1F5B;	03A5  	
1F5D;	03A5  	
1F5F;	03A5  	
1FE8;	03A5  	
1FE9;	03A5  	
1FEA;	03A5  	
1FEB;	03A5  	
038F;	03A9  	
1F68;	03A9  	
1F69;	03A9  	
1F6A;	03A9  	
1F6B;	03A9  	
1F6C;	03A9  	
1F6D;	03A9  	
1F6E;	03A9  	
1F6F;	03A9  	
1FA8;	03A9  	
1FA9;	03A9  	
1FAA;	03A9  	
1FAB;	03A9  	
1FAC;	03A9  	
1FAD;	03A9  	
1FAE;	03A9  	
1FAF;	03A9  	
1FFA;	03A9  	
1FFB;	03A9  	
1FFC;	03A9  	
03AC;	03B1  	
1F00;	03B1  	
1F01;	03B1  	
1F02;	03B1  	
1F03;	03B1  	
1F04;	03B1  	
1F05;	03B1  	
1F06;	03B1  	
1F07;	03B1  	
1F70;	03B1  	
1F71;	03B1  	
1F80;	03B1  	
1F81;	03B1  	
1F82;	03B1  	
1F83;	03B1  	
1F84;	03B1  	
1F85;	03B1  	
1F86;	03B1  	
1F87;	03B1  	
1FB0;	03B1  	
1FB1;	03B1  	
1FB2;	03B1  	
1FB3;	03B1  	
1FB4;	03B1  	
1FB6;	03B1  	
1FB7;	03B1  	
03AD;	03B5  	
1F10;	03B5  	
1F11;	03B5  	
1F12;	03B5  	
1F13;	03B5  	
1F14;	03B5  	
1F15;	03B5  	
1F72;	03B5  	
1F73;	03B5  	
03AE;	03B7  	
1F20;	03B7  	
1F21;	03B7  	
1F22;	03B7  	
1F23;	03B7  	
1F24;	03B7  	
1F25;	03B7  	
1F26;	03B7  	
1F27;	03B7  	
1F74;	03B7  	
1F75;	03B7  	
1F90;	03B7  	
1F91;	03B7  	
1F92;	03B7  	
1F93;	03B7  	
1F94;	03B7  	
1F95;	03B7  	
1F96;	03B7  	
1F97;	03B7  	
1FC2;	03B7  	
1FC3;	03B7  	
1FC4;	03B7  	
1FC6;	03B7  	
1FC7;	03B7  	
0390;	03B9  	
03AF;	03B9  	
03CA;	03B9  	
1F30;	03B9  	
1F31;	03B9  	
1F32;	03B9  	
1F33;	03B9  	
1F34;	03B9  	
1F35;	03B9  	
1F36;	03B9  	
1F37;	03B9  	
1F76;	03B9  	
1F77;	03B9  	
1FD0;	03B9  	
1FD1;	03B9  	
1FD2;	03B9  	
1FD3;	03B9  	
1FD6;	03B9  	
1FD7;	03B9  	
03CC;	03BF  	
1F40;	03BF  	
1F41;	03BF  	
1F42;	03BF  	
1F43;	03BF  	
1F44;	03BF  	
1F45;	03BF  	
1F78;	03BF  	
1F79;	03BF  	
1FE4;	03C1  	
1FE5;	03C1  	
03B0;	03C5  	
03CB;	03C5  	
03CD;	03C5  	
1F50;	03C5  	
1F51;	03C5  	
1F52;	03C5  	
1F53;	03C5  	
1F54;	03C5  	
1F55;	03C5  	
1F56;	03C5  	
1F57;	03C5  	
1F7A;	03C5  	
1F7B;	03C5  	
1FE0;	03C5  	
1FE1;	03C5  	
1FE2;	03C5  	
1FE3;	03C5  	
1FE6;	03C5  	
1FE7;	03C5  	
03CE;	03C9  	
1F60;	03C9  	
1F61;	03C9  	
1F62;	03C9  	
1F63;	03C9  	
1F64;	03C9  	
1F65;	03C9  	
1F66;	03C9  	
1F67;	03C9  	
1F7C;	03C9  	
1F7D;	03C9  	
1FA0;	03C9  	
1FA1;	03C9  	
1FA2;	03C9  	
1FA3;	03C9  	
1FA4;	03C9  	
1FA5;	03C9  	
1FA6;	03C9  	
1FA7;	03C9  	
1FF2;	03C9  	
1FF3;	03C9  	
1FF4;	03C9  	
1FF6;	03C9  	
1FF7;	03C9  	
04D0;	0410  	
04D2;	0410  	
0490;	0413  	
0492;	0413  	
0494;	0413  	
0400;	0415  	
04D6;	0415  	
0496;	0416  	
04C1;	0416  	
04DC;	0416  	
0498;	0417  	
04DE;	0417  	
040D;	0418  	
04E2;	0418  	
04E4;	0418  	
048A;	0419  	
049A;	041A  	
049C;	041A  	
049E;	041A  	
04C3;	041A  	
04C5;	041B  	
04CD;	041C  	
04A2;	041D  	
04C7;	041D  	
04C9;	041D  	
04E6;	041E  	
04A6;	041F  	
048E;	0420  	
04AA;	0421  	
04AC;	0422  	
04EE;	0423  	
04F0;	0423  	
04F2;	0423  	
04B2;	0425  	
04B3;	0425  	
04F4;	0427  	
04F8;	042B  	
04EC;	042D  	
04D1;	0430  	
04D3;	0430  	
0491;	0433  	
0493;	0433  	
0495;	0433  	
0450;	0435  	
04D7;	0435  	
0497;	0436  	
04C2;	0436  	
04DD;	0436  	
0499;	0437  	
04DF;	0437  	
045D;	0438  	
04E3;	0438  	
04E5;	0438  	
048B;	0439  	
049B;	043A  	
049D;	043A  	
049F;	043A  	
04C4;	043A  	
04C6;	043B  	
04CE;	043C  	
04A3;	043D  	
04C8;	043D  	
04CA;	043D  	
04E7;	043E  	
04A7;	043F  	
048F;	0440  	
04AB;	0441  	
04AD;	0442  	
04EF;	0443  	
04F1;	0443  	
04F3;	0443  	
04B9;	0447  	
04F5;	0447  	
04F9;	044B  	
04ED;	044D  	
047C;	0460  	
047D;	0461  	
0476;	0474  	
0477;	0475  	
04B0;	04AE  	
04B1;	04AF  	
04B6;	04BC  	
04B7;	04BC  	
04B8;	04BC  	
04BE;	04BC  	
04BF;	04BC  	
04CB;	04BC  	
04CC;	04BC  	
04DA;	04D8  	
04DB;	04D9  	
04EA;	04E8  	
04EB;	04E9  	
FB2E;	05D0  	
FB2F;	05D0  	
FB30;	05D0  	
FB31;	05D1  	
FB4C;	05D1  	
FB32;	05D2  	
FB33;	05D3  	
FB34;	05D4  	
FB35;	05D5  	
FB4B;	05D5  	
FB36;	05D6  	
FB38;	05D8  	
FB1D;	05D9  	
FB39;	05D9  	
FB3A;	05DA  	
FB3B;	05DB  	
FB4D;	05DB  	
FB3C;	05DC  	
FB3E;	05DE  	
FB40;	05E0  	
FB41;	05E1  	
FB43;	05E3  	
FB44;	05E4  	
FB4E;	05E4  	
FB46;	05E6  	
FB47;	05E7  	
FB48;	05E8  	
FB2A;	05E9  	
FB2B;	05E9  	
FB2C;	05E9  	
FB2D;	05E9  	
FB49;	05E9  	
FB4A;	05EA  	
